Timestamp,targetPose/rotation/q/w,targetPose/rotation/q/x,targetPose/rotation/q/y,targetPose/rotation/q/z,targetPose/translation/x,targetPose/translation/y,targetPose/translation/z,AprilTag roll,AprilTag pitch,AprilTag yaw,Tracker_1/rotation/value,Tracker_1/translation/x,Tracker_1/translation/y,Tracker_2/rotation/value,Tracker_2/translation/x,Tracker_2/translation/y,Tracker_3/rotation/value,Tracker_3/translation/x,Tracker_3/translation/y,camera tag range,tag angle [degrees],tracker range,tracker angle [degrees],range error,angle error [degrees]
57.466263,0.043008624,-0.008106173,-0.001842651,-0.999040116,2.236384641,0.013473349,0.20357355,89.82897793,-0.937130574,-94.92871772,-0.031015873,4.359231067,3.845891474,-0.028946162,2.154098969,3.913318552,0.034012636,4.885052086,3.272124218,2.236425226,0.345180656,2.206162728,-1.751406934,0.030262499,-2.096587591
57.486263,0.024923571,-0.019584611,-0.000861335,-0.999497132,2.237327755,0.013543502,0.20378633,89.9572493,-2.246137806,-92.85603769,-0.031015873,4.359231067,3.845891474,-0.028946162,2.154098969,3.913318552,0.034012636,4.885052086,3.272124218,2.237368746,0.34683163,2.206162728,-1.751406934,0.031206019,-2.098238565
57.506263,-0.004334009,0.01855189,0.000665343,-0.999818284,2.243513419,0.013660702,0.204291351,90.08550132,2.125660877,-89.50168573,-0.031015873,4.359231067,3.845891474,-0.028946162,2.154098969,3.913318552,0.034012636,4.885052086,3.272124218,2.243555008,0.348868384,2.206162728,-1.751406934,0.03739228,-2.100275318
57.526263,0.030566015,-0.002729593,-0.000364021,-0.999528957,2.244928202,0.013733926,0.204431728,89.96786617,-0.313917524,-93.50307818,-0.031015873,4.359231067,3.845891474,-0.028946162,2.154098969,3.913318552,0.034012636,4.885052086,3.272124218,2.244970212,0.350517303,2.206162728,-1.751406934,0.038807484,-2.101924237
57.546263,0.030566015,-0.002729593,-0.000364021,-0.999528957,2.244928202,0.013733926,0.204431728,89.96786617,-0.313917524,-93.50307818,-0.031015873,4.359231067,3.845891474,-0.028946162,2.154098969,3.913318552,0.034012636,4.885052086,3.272124218,2.244970212,0.350517303,2.206162728,-1.751406934,0.038807484,-2.101924237
57.566263,0.047912872,-0.038329661,-0.002467617,-0.998112771,2.227530819,0.013274101,0.203041329,89.9279988,-4.401843606,-95.49380544,-0.031015873,4.359231067,3.845891474,-0.028946162,2.154098969,3.913318552,0.034012636,4.885052086,3.272124218,2.227570369,0.341427817,2.206162728,-1.751406934,0.021407642,-2.092834751
57.586263,0.027637786,-0.025497064,-0.000752631,-0.999292493,2.235775799,0.013487197,0.203714544,89.99455942,-2.923332978,-93.16835268,-0.031091398,4.359428153,3.846017172,-0.029196937,2.154308986,3.913477102,0.033987448,4.88496045,3.272258517,2.235816479,0.345629513,2.206150806,-1.752270004,0.029665673,-2.097899516
57.606263,0.027637786,-0.025497064,-0.000752631,-0.999292493,2.235775799,0.013487197,0.203714544,89.99455942,-2.923332978,-93.16835268,-0.031091398,4.359428153,3.846017172,-0.029196937,2.154308986,3.913477102,0.033987448,4.88496045,3.272258517,2.235816479,0.345629513,2.206150806,-1.752270004,0.029665673,-2.097899516
57.626263,0.031577515,-0.038012241,-0.001228101,-0.998777464,2.231754227,0.01342077,0.203473673,89.9969812,-4.359204984,-93.62162459,-0.031091398,4.359428153,3.846017172,-0.029196937,2.154308986,3.913477102,0.033987448,4.88496045,3.272258517,2.23179458,0.344546981,2.206150806,-1.752270004,0.025643773,-2.096816985
57.646263,0.031577515,-0.038012241,-0.001228101,-0.998777464,2.231754227,0.01342077,0.203473673,89.9969812,-4.359204984,-93.62162459,-0.031091398,4.359428153,3.846017172,-0.029196937,2.154308986,3.913477102,0.033987448,4.88496045,3.272258517,2.23179458,0.344546981,2.206150806,-1.752270004,0.025643773,-2.096816985
57.666263,0.021968227,-0.007832654,-0.000303982,-0.99972794,2.240825827,0.013644509,0.204117458,89.98489151,-0.898113809,-92.51753485,-0.031091398,4.359428153,3.846017172,-0.029196937,2.154308986,3.913477102,0.033987448,4.88496045,3.272258517,2.240867367,0.348872763,2.206150806,-1.752270004,0.034716561,-2.101142766
57.686263,0.037428081,0.008664806,-0.001028915,-0.999261228,2.246345104,0.013748397,0.20452424,89.84499605,0.987816117,-94.2914438,-0.031216185,4.359582837,3.846276684,-0.029185907,2.154300966,3.913314839,0.033939952,4.885197042,3.27301579,2.246387176,0.350665302,2.206300579,-1.741192776,0.040086597,-2.091858078
57.706263,0.029442744,-0.015759067,-0.000985778,-0.999441747,2.238042847,0.013500318,0.203838398,89.94024078,-1.808474139,-93.37385528,-0.031216185,4.359582837,3.846276684,-0.029185907,2.154300966,3.913314839,0.033939952,4.885197042,3.27301579,2.238083565,0.345615301,2.206300579,-1.741192776,0.031782986,-2.086808077
57.726263,0.030180753,-0.021164212,-0.000938516,-0.999319927,2.237605122,0.013438101,0.203930366,89.96569195,-2.427562749,-93.45903455,-0.031216185,4.359582837,3.846276684,-0.029185907,2.154300966,3.913314839,0.033939952,4.885197042,3.27301579,2.237645473,0.344089864,2.206300579,-1.741192776,0.031344894,-2.08528264
